SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,0,0.1023712383613841,0,0,-0.5219756496159262,-0.2632890631964203,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0
0,1,1,-0.7117434584104956,1,0,0.3374778078243394,-0.5048144831572396,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,1,1,-0.7931549280876836,0,0,-0.8090131942822701,-0.7512134391325384,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,0
0,1,0,-0.2639803751859618,1,1,0.2843841579438598,-0.1736994214167345,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0
0,1,1,-1.2816237461508113,1,0,-0.6762790695810708,-0.99085091270937,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,0,1,1.3642490183577978,1,1,0.48348534499565887,1.2709747139024437,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,0,0,-1.2816237461508113,1,0,-1.497571466169742,-1.0017175808497631,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0
0,1,0,0.30589991255435406,1,0,-0.27641751891870747,0.03415030374133098,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0,1,0,1.3235432835192036,1,1,-0.17023021915774814,0.6616070891730831,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,0
0,0,0,1.1200146093262338,1,0,0.5183280527297236,1.1177217638255048,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,0
1,0,0,-1.1188008067964355,1,0,-0.1669118660402181,-0.8840282719595658,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0
0,1,1,-1.1188008067964355,1,1,-0.5153389433808665,-0.9083081405722422,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,0,0,-1.2409180113122174,1,0,-0.46390447005915153,-0.9563849147691331,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,1,1,-0.10115743583158582,1,0,0.08860132400959055,-0.1322085066988697,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,0
0,1,0,0.14307697319997809,1,1,1.0111034906829266,0.5149619514401006,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0
0,1,1,0.9164859351332638,1,1,0.1367174442137754,0.676710660244983,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
0,0,0,-0.06045170099299184,1,1,0.6576988836659831,0.13702142880371965,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
1,1,1,-0.1825689055087738,0,1,-0.9633166142474143,-0.5829227765784898,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
0,0,0,-0.6710377235719016,1,0,-1.5257774676687466,-0.8669269901790279,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,0,-1.0780950719578415,1,0,-1.4859572302583868,-0.9531139378945502,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0
1,1,0,-0.22327464034736777,1,1,0.695859944517578,-0.03565980673634629,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0
0,0,0,1.0386031396490458,1,1,-1.3150620447055927,-0.36308678716859677,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,1,1,1.6084834273893616,1,1,1.326347036848275,2.384665504670697,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,0
0,0,0,-0.1825689055087738,0,1,-0.9682941439237093,-0.5883012284863612,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0
0,1,1,0.30589991255435406,1,1,0.667653943018573,0.462911708690864,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,0
0,0,0,-1.2816237461508113,1,0,-1.4743429943470319,-1.001410240740742,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1
0,0,0,-1.1188008067964355,1,1,0.5000771105833088,-0.8292997796888584,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
0,0,0,-1.2816237461508113,1,1,0.14169497389007057,-0.9800281502988372,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,1,-0.8338606629262776,1,1,1.3396204493183947,-0.4503274724007632,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0
0,0,0,-1.1188008067964355,1,1,1.034331962505636,-0.811342336176047,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,1
0,1,0,1.5677776925507676,1,1,0.7024966507526377,1.644085606254205,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
0,0,0,-1.2002122764736234,1,1,0.39886734049864436,-0.9101302283614394,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,1,0,-0.10115743583158582,1,0,-1.5025489958460367,-0.7224551860741241,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,1
0,1,0,-0.30468611002455576,1,1,-1.4842980536996218,-0.787413713402252,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0
0,1,1,0.7943687306174818,1,0,-1.3399496930870676,-0.42600369805822663,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
1,0,0,0.5501343215859179,1,1,1.495583045842304,1.1299056038617032,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,1
0,0,0,-0.9559778674420595,1,1,0.18483356441796028,-0.7478985565280951,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,1,0,-0.5489205190561197,1,1,0.7273842991341125,-0.32354967742950963,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
0,0,0,-0.8338606629262776,1,1,-0.5153389433808665,-0.7418615186723211,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1,1,0,0.5094285867473239,1,1,1.1206091435614158,0.9766746066496946,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0
0,1,1,0.14307697319997809,1,1,1.313073624378155,0.6074932771204181,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0
0,0,0,0.22448844287716607,1,1,1.0011484313303363,0.610237385236679,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,0
0,1,1,-1.2816237461508113,1,0,-1.5174815848749215,-1.0019810152289244,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,1,0,-0.9152721326034655,1,1,1.113972437326356,-0.5547792037381181,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,1
0,1,1,-0.7931549280876836,1,0,-0.6679831867872458,-0.7648900739839826,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0,0,-0.5896262538947137,1,1,0.5664441729339085,-0.384556689070222,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,1
0,1,0,0.18378270803857208,0,0,-0.6480730680820658,-0.3109487329596397,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,0
0,0,1,-1.1188008067964355,1,0,-1.4793205240233267,-0.956845924932665,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0
0,0,0,-0.8745663977648716,1,0,0.33250027814804467,-0.6523596883523557,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,1,1.2828375486806096,1,1,1.135541732590301,1.6990994857690038,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,0
0,0,0,-1.2816237461508113,1,0,-0.3112602266527725,-0.9860212824247508,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0
1,1,0,0.18378270803857208,1,1,0.9148712502745568,0.5146107056012194,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,1,1,0.631545791263106,1,1,1.3379612727596297,1.1837779344001371,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0
1,1,0,-0.5082147842175256,1,1,0.9828974891839214,-0.17635571807327502,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,0,0,-0.2639803751859618,1,1,0.15165003324266044,-0.22008582501400878,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0
0,0,0,-0.10115743583158582,1,0,-1.5108448786398618,-0.756416268120969,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
0,0,0,1.4863662228735797,1,1,0.06537285218688103,0.9995494919068453,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,0
0,1,1,1.2421318138420157,1,1,0.8120023036311275,1.4472781721559735,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,1,0,-1.1188008067964355,1,0,-1.5125040551986266,-0.9550677428733279,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1
0,1,0,0.26519417771576004,1,1,-1.4760021709057967,-0.6635556494667001,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,0,1,-1.1595065416350294,1,1,1.2201597370873154,-0.850352577156812,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,1,0,1.1200146093262338,1,0,1.2019087949409006,1.6535253381741426,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,0
0,1,1,-0.5489205190561197,1,0,1.273253386967795,-0.1267202904663479,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,1
0,1,0,-0.8745663977648716,1,1,1.2301147964399053,-0.5075366384085704,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,1
1,0,0,-0.06045170099299184,1,1,1.1620885575305409,0.3887110252271693,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,1
0,0,0,-0.10115743583158582,1,1,0.642766294637098,0.06027421300813474,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0
